"Name","Key","Type","Custom Type"
"Computer Type","customfield_15816","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Which Jedox access group do you need?","customfield_15808","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"DR Strategic Directive","customfield_21007","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"DR Integration Required","customfield_21006","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"DR Infrastructure Type","customfield_21005","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Technical Notes","customfield_15000","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Single-Line Description","customfield_16578","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Are you reporting an issue or bug?","customfield_17667","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Webhook URL","customfield_16333","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Expected Results","customfield_17669","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Vertical","customfield_18756","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Current Results","customfield_17668","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"WSJF","customfield_16563","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Job Size","customfield_16562","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Snowflake Environment","customfield_16320","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Cost of Delay","customfield_16561","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"RR OE","customfield_16560","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Total forms","customfield_16567","number","com.atlassian.jira.plugins.proforma-managed-fields:forms-total-field-cftype"
"Locked forms","customfield_16566","number","com.atlassian.jira.plugins.proforma-managed-fields:forms-locked-field-cftype"
"Submitted forms","customfield_16565","number","com.atlassian.jira.plugins.proforma-managed-fields:forms-submitted-field-cftype"
"Open forms","customfield_16564","number","com.atlassian.jira.plugins.proforma-managed-fields:forms-open-field-cftype"
"Was this for a Real Estate or Direct to Consumer?","customfield_16329","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Impact Areas","customfield_16568","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Director","customfield_16319","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"What GitLab Project permissions do you need?","customfield_16314","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What GitLab permissions do you need?","customfield_16313","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Email Forwarding","customfield_16312","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Responders","customfield_16311","array","com.atlassian.jira.modules.servicemanagement.responders-entity:responders-entity-field-cftype"
"PII Access","customfield_16318","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Criticality","customfield_16559","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"What is your business group?","customfield_16317","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Value","customfield_16558","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Brand","customfield_19823","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Secure Viewers","customfield_16315","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"Submission Date","customfield_20800","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"Executive Sponser","customfield_20801","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Add to Queue","customfield_16541","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"RCA Decision","customfield_16540","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What type of connection do you need for this CyberArk request?","customfield_15691","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Test","customfield_17634","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Approver groups","customfield_16303","array","com.atlassian.jira.plugin.system.customfieldtypes:multigrouppicker"
"Looker Role","customfield_15697","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Publication date","customfield_16302","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"Content type","customfield_16301","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Gitlab MacOS","customfield_16543","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Environment","customfield_15696","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Preferred First Name","customfield_16542","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Incident Resolved","customfield_17636","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Incident Reason","customfield_17635","array","com.atlassian.jira.plugin.system.customfieldtypes:labels"
"Key Objective","customfield_16304","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Preventative Measure","customfield_16539","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Resolution Analysis","customfield_16538","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Impact Analysis","customfield_16537","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"For which Unix/Linux server(s)?","customfield_15671","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"URL","customfield_16761","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"What primary Vista group is needed?","customfield_15672","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Resourcing Team","customfield_16760","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Begin Date","customfield_16765","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"Feature Flag","customfield_16763","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Code is toggled off?","customfield_14100","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"What secondary Vista group(s) are needed?","customfield_15673","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Description of Issue","customfield_16762","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Toggle Description","customfield_14101","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Vulnerability","customfield_16769","any","com.atlassian.jira.plugins.jira-development-integration-plugin:vulnerabilitycf"
"Risk Treatment Method(s)","customfield_16768","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"Evidence Controls","customfield_16767","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Design","customfield_16759","array","com.atlassian.jira.plugins.jira-development-integration-plugin:designcf"
"ICE Score","customfield_16757","number","jira.polaris:formula"
"Score","customfield_16756","number","jira.polaris:formula"
"Insights impact","customfield_16755","number","jira.polaris:formula"
"Device Network ID","customfield_16508","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Device DNS Name","customfield_16507","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"JDE Roles","customfield_15659","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Device NetBIOS Name","customfield_16506","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Device MAC Addresses","customfield_16502","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"What mobile liability are you requesting to transfer from the corporate account to a personal account?","customfield_15898","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Who is submitting the form?","customfield_20794","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Other access rights enforcement","customfield_16053","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Project Name","customfield_20795","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Is Frontdoor data shared with the vendor?","customfield_16294","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Other","customfield_16052","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Are any network connections or technology resources allocated for the vendor?","customfield_16293","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What happens if the app/service data is missing, deleted, or currently unreachable?","customfield_16051","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Include Frontdoor system names and access type","customfield_16292","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What happens if the app/service data is incorrect, misleading, website defaced, etc.?","customfield_16050","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Other audit log storage","customfield_16057","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Other secrets storage","customfield_16056","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Customer or Prospect","customfield_17145","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Customer, Prospect, Competitor Name","customfield_17144","array","com.atlassian.jira.plugin.system.customfieldtypes:labels"
"Other datastore communication","customfield_16055","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Other Distributed Denial of Service attack mitigation","customfield_16054","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Characterization of the information: What information is collected and maintained in the system?","customfield_16059","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Other datastore encryption options","customfield_16058","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Does the vendor require access to Frontdoor systems?","customfield_16291","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Is this for a new security group to be created?","customfield_16290","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"2-10 Job Family and Title","customfield_22965","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
"Completion Date","customfield_22964","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"Stakeholder Approval","customfield_22963","array","com.atlassian.jira.plugin.system.customfieldtypes:servicedesk-approvers-list"
"What mailbox update is required?","customfield_16284","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Would you like to receive alerts?","customfield_16042","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Approver","customfield_22962","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Key","customfield_16041","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What FusionAuth access do you require?","customfield_16282","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Priority","customfield_22960","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Destination File Type","customfield_16040","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What Campaign Service role do you need?","customfield_16281","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Line of Business (LOB)","customfield_17370","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"test","customfield_16288","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Did the interface process?","customfield_16046","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Please select which One Time Payment","customfield_16287","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Do you have an issue related to an Interface?","customfield_16045","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What is the Requisition Number?","customfield_16286","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Are you receiving an error message","customfield_16044","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"temp date","customfield_16285","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"Are you able to login?","customfield_16043","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What happens if the app/service data is disclosed to the world?","customfield_16049","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Did you receive a 'User Not Authorized' error?","customfield_16048","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Does the contractor have Frontdoor supplied Equipment","customfield_16289","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Are you having issues running a report?","customfield_16047","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Focus Areas","customfield_18228","array","com.atlassian.jira.plugin.system.customfieldtypes:focus-areas"
"Current Tenant for Configuration","customfield_22958","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Type of Splunk Access","customfield_16280","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Citrix Groups","customfield_16031","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Add or remove user","customfield_21620","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Employee ID","customfield_16270","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Source FTP Type","customfield_16035","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Destination FTP File Path","customfield_16039","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"File Type","customfield_16038","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Can the file be removed from source after it is copied?","customfield_16037","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Destination FTP Type","customfield_16036","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"AWS Environment","customfield_18459","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Release Train","customfield_12900","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Product Area","customfield_20521","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Are you able to get to any other website?","customfield_16020","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Previous Qtr Priority","customfield_20761","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"RICE score","customfield_20520","number","jira.polaris:formula"
"Order Number","customfield_16024","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What kind of CSC issue","customfield_16266","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Receiver Phone Number","customfield_16023","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"What area of CSC is not working properly?","customfield_16265","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Is the number calls will be forwarded to an internal company number?","customfield_16022","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Has it ever worked before?","customfield_16021","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What JDE system and interface?","customfield_16028","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
"What type of leave","customfield_16269","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Is this for multiple associates?","customfield_16268","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What issue(s) are you having with Jedox?","customfield_16026","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"What JDE module are you having problems with?","customfield_16025","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"HR BP/TVL Advanced Workday Support","customfield_16267","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Job ID","customfield_16029","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Confidence","customfield_20518","number","jira.polaris:slider"
"Documents","customfield_20519","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"Effort","customfield_20516","number","jira.polaris:rating"
"Idea short description","customfield_20517","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Category","customfield_20514","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Value","customfield_20515","number","jira.polaris:rating"
"Project start","customfield_20512","string","jira.polaris:interval"
"Project target","customfield_20513","string","jira.polaris:interval"
"Spec ready","customfield_20510","number","jira.polaris:boolean"
"Designs ready","customfield_20511","number","jira.polaris:boolean"
"Are you requesting LucidChart or Lucid Spark?","customfield_16255","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Cube/Desk/Room Number","customfield_16012","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Can you perform your core job functions?","customfield_16011","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Acceptance Criteria (migrated)","customfield_17100","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Patch Publication Date","customfield_16494","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Office Location","customfield_16010","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Is email working on the device?","customfield_16017","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Product Classification","customfield_17106","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Receiver","customfield_16016","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Sender","customfield_16015","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Finding Severity","customfield_16499","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Is this working for anyone else?","customfield_16014","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Can you access your email using the link below?","customfield_16018","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Customer segments","customfield_20509","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Roadmap","customfield_20507","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Reach","customfield_20508","number","jira.polaris:rating"
"Impact","customfield_20505","number","jira.polaris:rating"
"Theme","customfield_20506","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Security or Compliance Risk","customfield_22925","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Atlassian project","customfield_17571","string","jira.polaris:atlassian-project"
"Tenable NetBIOS Name","customfield_18420","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Idea archived on","customfield_17570","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"Tenable Operating System","customfield_18421","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Port","customfield_18422","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Queue Groups","customfield_16486","array","com.atlassian.jira.plugin.system.customfieldtypes:multigrouppicker"
"Linked items","customfield_17575","number","jira.polaris:count-linked-issues"
"What role is the requested user?","customfield_16001","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"MongoDB Environment (single)","customfield_16485","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Comments","customfield_17574","number","jira.polaris:count-issue-comments"
"Insights","customfield_17573","number","jira.polaris:count-insights"
"New Hire/Re-Hire","customfield_19990","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"Atlassian project status","customfield_17572","string","jira.polaris:atlassian-project-status"
"Job code","customfield_19991","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"BPO Company Name","customfield_17337","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Production/Staging/Testing/Training Environment","customfield_16004","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Delivery status","customfield_17577","string","jira.polaris:delivery-status"
"Paymentus Access","customfield_16487","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Do you need access or a password reset?","customfield_16003","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
"Delivery progress","customfield_17576","string","jira.polaris:delivery-progress"
"Tenable Protocol","customfield_18423","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Do you have a company-provided chair to return?","customfield_16009","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable Service","customfield_18424","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"What area of Sales Central are you reporting on?","customfield_16008","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable First Found","customfield_18425","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Last Fixed","customfield_18426","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Select YES or No, this project will/might need legal review","customfield_20970","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Tenable VPR Score","customfield_18410","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Tenable Exploitability Ease","customfield_18411","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Asset UUID","customfield_18416","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Idea archived","customfield_17568","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable IPv4","customfield_18417","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable IPv6","customfield_18418","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable MAC Address","customfield_18419","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Agent UUID","customfield_18412","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Device Type","customfield_18413","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable FQDN","customfield_18414","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Idea archived by","customfield_17569","array","com.atlassian.jira.plugin.system.customfieldtypes:people"
"Tenable Hostname","customfield_18415","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Short Description","customfield_18409","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"SC Urgency","customfield_16460","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable CVE","customfield_18400","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Employment Type","customfield_16464","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Vista Plus Support Type","customfield_16463","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"KEYS Type","customfield_16462","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"SC Impact","customfield_16461","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable Plugin Family","customfield_18405","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"MS Copilot Issue Type","customfield_17799","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable MS Bulletin","customfield_18406","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"AWS Region","customfield_16467","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable Vulnerability Title","customfield_18407","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"Tenable Solution","customfield_18408","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Kibana APM Access","customfield_16465","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Tenable CVSSv3 Base Score","customfield_18401","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Tenable CVSSv3 Temporal Score","customfield_18402","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Tenable CVSSv2 Base Score","customfield_18403","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Tenable CVSSv2 Temporal Score","customfield_18404","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"DR Owning Team","customfield_21004","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Elastic Kibana Instance","customfield_21488","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"DR System Name","customfield_21003","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Program","customfield_21242","any","jira.polaris:connection"
"Test Case Type","customfield_11440","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Reopened","customfield_11436","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Risk?","customfield_14702","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Sourcing Status","customfield_14703","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"City","customfield_18063","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Financial Impact","customfield_22796","number","jira.polaris:rating"
"Financial Impact","customfield_22795","number","jira.polaris:slider"
"Brand","customfield_22794","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Vote","customfield_22792","number","jira.polaris:votes"
"Release Version History","customfield_11420","array","com.atlassian.jira.plugin.system.customfieldtypes:multiversion"
"Unplanned Work","customfield_12512","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"SS API Version","customfield_13600","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Epic Name","customfield_11414","string","com.pyxis.greenhopper.jira:gh-epic-label"
"Epic Status","customfield_11413","option","com.pyxis.greenhopper.jira:gh-epic-status"
"Flagged","customfield_11416","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Epic Color","customfield_11415","string","com.pyxis.greenhopper.jira:gh-epic-color"
"Story Points","customfield_11418","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Sprint","customfield_11410","array","com.pyxis.greenhopper.jira:gh-sprint"
"Rank","customfield_11412","any","com.pyxis.greenhopper.jira:gh-lexo-rank"
"Epic Link","customfield_11411","any","com.pyxis.greenhopper.jira:gh-epic-link"
"Project Owner or Sponsor","customfield_11409","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"Business Requirement","customfield_11408","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Mitigation Plan","customfield_21209","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"Risk Category","customfield_21208","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Probability","customfield_21207","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Risk Type","customfield_21206","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Health Monitor","customfield_21205","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"ElasticSearch Role","customfield_21688","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"ElasticSearch Instance","customfield_21687","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What are you wanting to do with an agent’s access?","customfield_16097","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Which Google group do you need?","customfield_16096","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"2-10 Agent Access","customfield_21442","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
