"Key","Name","Type","Style","Category"
"AA","AHS Admin","software","classic","Active"
"ABAHS","Web AB Testing","product_discovery","next-gen","Active"
"ABI","AHS BI","software","classic","Active - Xray Testing"
"ACC210","2-10 Support","service_desk","classic","The Hub - Open Portal"
"ACCESS","Request Access","service_desk","classic","The Hub - Open Portal"
"AFIN","Finance","software","classic","Active"
"AHSAPP","AHS Application","software","classic","Active - Xray Testing"
"AHSBA","AHS Business Analytics","software","classic","Active"
"API","Partner API Portal","software","classic","Active"
"APPL","Appliance Portal","software","classic","Active - Xray Testing"
"APPS","Report Application Problem","service_desk","classic","The Hub - Open Portal"
"ARC","Analytics Request Center","business","next-gen","Active"
"ARCHTEAM"," Architecture Team","software","classic","Active"
"ARE","Real Estate & Commercial","software","classic","Read Only"
"ASC","Sales Entry","software","classic","Active"
"ASE","Agent Sales Engineering","software","classic","Active - Xray Testing"
"AUTHO","Authorizations","software","classic","Active - Xray Testing"
"AWEB","OBSOLETE - (DONT USE) AHS EComm","software","classic","Active - Xray Testing"
"AWSC","AWS Connect","software","classic","Active - Xray Testing"
"BC","My Account","software","classic","Active - Xray Testing"
"BDS","Blueprint Design System","software","classic","Active"
"BPOACC","BPO Access Issues","service_desk","classic","The Hub - Restricted Portal"
"CASHAPP","AR CashApp","software","classic","Active - Xray Testing"
"CDPR","Customer Data Privacy Requests","service_desk","classic","Active"
"CHANGE","Change Management","service_desk","classic","The Hub - Restricted Portal"
"CHEM","Chemistry Development","software","classic","Active"
"CI","Customer Identity","software","classic","Active - Security Engineering"
"CLOUDENG","Cloud Engineering (formerly AWS Devops and CPEAUTO)","software","classic","Active"
"CO","Contractor Onboarding","software","classic","Active"
"CONTIMP","Continuous Improvement","software","classic","Active"
"CORPNET","Corp Network Engineering","software","classic","Active"
"COSMERE","Cosmere","software","classic","None"
"CP","Commercial Partners","software","classic","Active"
"CPE","Cloud and Platform Engineering","software","classic","Active"
"CRMMG","CRM Marketing","software","classic","Active"
"CSC","Customer Service Central (CSC)","software","classic","Active - Xray Testing"
"CSIRT","CSIRT","software","classic","Active - Security Engineering"
"CSIRTOLD","(OLD) Security Engineering and Cyber Security Incident Response","software","classic","Read Only"
"CSVC","Core Services","software","classic","Active - Xray Testing"
"CT","Corporate Technology","software","classic","Active"
"DAB","Data Architecture","software","classic","Active - Xray Testing"
"DBAT","DBA Team","software","classic","Active"
"DEV210","2-10 Dev Team","software","classic","Active - Xray Testing"
"DG","Data Governance","software","classic","Active"
"DR","FTDR Disaster Recovery","software","classic","Active"
"DSML","Data Science and Machine Learning","software","classic","Active - Xray Testing"
"EA","Enterprise Analytics","software","classic","Active"
"EC","Expert Central","software","classic","Active"
"EDP","Externalizing Dispatch","software","classic","Active"
"EMAIL","Email Support","service_desk","classic","The Hub - Open Portal"
"ENG","For Engineers Only","service_desk","classic","Read Only"
"EQUIP","Equipment Support","service_desk","classic","The Hub - Open Portal"
"ERPS","ERP Services","software","classic","Active - Xray Testing"
"FAC","Facilities Project Tracking","business","classic","Active"
"FACILITIES","Facilities Support","service_desk","classic","The Hub - Open Portal"
"FCP","Frontdoor Contractor Portal","software","classic","Active - Xray Testing"
"FDI","FrontDoor Intelligence","software","classic","Active - Xray Testing"
"FDU","Frontdoor Unlocked Help","service_desk","classic","The Hub - Open Portal"
"FIN","Finance Enhancements","software","classic","Active"
"FINE","Finance Engineering","software","classic","Active - Xray Testing"
"FINENG","Finance Engineering (OLD)","software","classic","Active - Xray Testing"
"FLEXIND","Flex Team India","software","classic","Active - Xray Testing"
"FLEXUS","Flex Team US","software","classic","Active"
"FPMD","Funnel Product Management Discovery","product_discovery","next-gen","None"
"FSA","Foundational Systems Architecture","software","classic","Active - Xray Testing"
"FTT"," Finance Transformation","software","classic","Active"
"GRC","GRC","software","classic","Active"
"HB","HomeBase","software","classic","Active - Xray Testing"
"HE2E","Horizontal End To End Testing","software","classic","Active - Xray Testing"
"INDOBJ","I&D Objectives","business","next-gen","None"
"INNOV","Innovation","product_discovery","next-gen","None"
"INT210","2-10 Integration","software","classic","Active - Xray Testing"
"ISAUTO","Information Security Automations","software","classic","Active - Security Engineering"
"IT1234","ITSM Test","service_desk","classic","Testing & Misc"
"IT210","2-10 IT Projects","software","classic","Active"
"JID26","Project Intake Dashboard","business","next-gen","None"
"JIRAEVO","Enterprise Delivery Tools & Standards Evolution Project","software","classic","Active"
"JSNPROD","JScrambler Non-Production","software","classic","Active - Security Engineering"
"JSPROD","JScrambler Production","software","classic","Active - Security Engineering"
"LCM","Consumer Marketing","business","next-gen","Active"
"LCMNM","Lifecycle Non-Member","business","next-gen","Active"
"LEGAL","Legal","service_desk","classic","The Hub - Restricted Portal"
"LEGEB","Legal - Emerging Businesses","software","classic","Active"
"MCAE","B2B Marketing Operations","software","classic","Active"
"MKA","Marketing Analytics","software","classic","Active"
"MOB","Mobile Applications","software","classic","Active - Xray Testing"
"MOBILE","Mobile Device Support","service_desk","classic","The Hub - Open Portal"
"MSS","Member Self-Service","software","classic","Active"
"NHD","Natural Hazard Disclosure - Obsolete","software","classic","Active"
"OND","Frontdoor Pro","software","classic","Active - Xray Testing"
"ONDCE"," OnDemand Customer Experience","software","classic","Active"
"ONDCORE","OnDemand Core Team","software","classic","Active"
"ONDPRO","OnDemand Pro Vendor Experience","software","classic","Active"
"OTHER","Other Requests","service_desk","classic","The Hub - Open Portal"
"PARTNERDEV","Partner API Support","service_desk","classic","Active"
"PEOPLE","People Support","service_desk","classic","The Hub - Open Portal"
"PEOPLEOP","People Operations Support Administrators Only","service_desk","classic","The Hub - Restricted Portal"
"PHX","Phoenix","software","classic","Active"
"PINT","Payments Integration","software","classic","Active - Xray Testing"
"PLTRDMP","People Enablement","product_discovery","next-gen","None"
"PMO","PMO","software","classic","Active"
"PPC","Project PremierCare Pilot","service_desk","classic","The Hub - Restricted Portal"
"PRICE","Pricing","software","classic","Active"
"PRM","Process Management","software","classic","Active"
"PRODDEMO","Product Discovery Demo","product_discovery","next-gen","Testing & Misc"
"PRODUCT","Product Road Map","product_discovery","next-gen","Active"
"PRODUX","UX","software","classic","Active"
"PS","Security Engineering","software","classic","Active - Security Engineering"
"PT","People Technology","business","next-gen","None"
"PUD","Product Update and Development","software","classic","Active"
"QAINFRA","QA Infrastructure","software","classic","Active - Xray Testing"
"REALDUMB","dumb test project","software","next-gen","Testing & Misc"
"RELOPS","Real Estate Leader Operations","service_desk","classic","The Hub - Restricted Portal"
"RENEW","OBSOLETE - (DONT USE) Renewals","software","classic","Active - Xray Testing"
"RESR","RESR Escalation Requests","service_desk","classic","Read Only"
"SC","Sales Central","software","classic","Read Only"
"SCRDSN","Secure Design","software","classic","Active - Security Engineering"
"SDP","Service Desk Projects","software","classic","Active"
"SECHUB","Security & Governance Requests","service_desk","classic","The Hub - Open Portal"
"SEO","Frontdoor SEO","software","classic","Active"
"SOR","Service Operations Reporting","business","classic","Active"
"SPRDMP","Strategic Plan Roadmap","product_discovery","next-gen","Active"
"SSOL","Salesforce Solution","software","classic","Active - Xray Testing"
"SSSE","Self Service Sales Engineering","software","classic","Active - Xray Testing"
"ST","Streem Shipments","software","classic","Active"
"STREEM","Streem","software","classic","Active"
"SVS","Simplefocus Vendor Support","software","classic","Active"
"TACOE","TACoE","software","classic","Active - Xray Testing"
"TALENT","Talent Acquisition","service_desk","classic","The Hub - Open Portal"
"TENXMS","10xMS","software","classic","Active"
"TESTDESK","Test Service Desk","service_desk","classic","Testing & Misc"
"TESTSOFT","Jira Software Testing Sandbox","software","classic","Testing & Misc"
"TMTEST","Team managed testing","business","next-gen","Testing & Misc"
"TMTKANB","team managed test","software","next-gen","Testing & Misc"
"TNBL","TNBL","business","classic","None"
"TO","Testing and Optimization","software","classic","Active"
"TRAIN","Training","software","classic","Active"
"UX","User Experience","software","classic","Active"
"VSA","Vendor Security Assessments","software","classic","Active - Security Engineering"
"WEBOPS","Website Operations","business","next-gen","Active"
"WORK210","2-10 eComm","business","classic","Active"
"WORKTEST","Work Management Test","business","classic","Testing & Misc"
"WOS","Work Order Services","software","classic","Read Only"
"XRAYTEST","XRay Testing","software","classic","Testing & Misc"
"ZESTY","Zesty CMS","software","classic","Active - Xray Testing"
